metric                                  , definition                                                                                                         , method_note                                                                                                                                                                                                                                                                                                                        , unit        , builder_version    , input_fingerprint_sha256
total_transferred_gib                   , Total RAM migration data transferred.                                                                              ,                                                                                                                                                                                                                                                                                                                                    , GiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
precopy_transferred_gib                 , RAM transferred during precopy.                                                                                    ,                                                                                                                                                                                                                                                                                                                                    , GiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
postcopy_transferred_gib                , RAM transferred during postcopy.                                                                                   ,                                                                                                                                                                                                                                                                                                                                    , GiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
downtime_transferred_gib                , RAM transferred while the VM was stopped.                                                                          ,                                                                                                                                                                                                                                                                                                                                    , GiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
transfer_amplification                  , Total transferred RAM divided by configured guest RAM.                                                             ,                                                                                                                                                                                                                                                                                                                                    , x guest RAM , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
postcopy_page_requests                  , Final QEMU postcopy-requests counter.                                                                              ,                                                                                                                                                                                                                                                                                                                                    , requests    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
postcopy_remote_fault_count             , Sum of the destination QEMU postcopy-latency-dist bins.                                                            ,                                                                                                                                                                                                                                                                                                                                    , faults      , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
postcopy_blocktime_ms                   , Destination QEMU postcopy-blocktime.                                                                               ,                                                                                                                                                                                                                                                                                                                                    , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
postcopy_latency_ms                     , Destination QEMU postcopy-latency converted from ns to ms; QEMU-reported zero is retained.                         , "QEMU reports nanoseconds; values are divided by 1,000,000. A reported zero remains zero, including when no remote faults occurred."                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
max_cpu_throttle_pct                    , Maximum positive cpu-throttle-percentage observed in query-migrate.                                                ,                                                                                                                                                                                                                                                                                                                                    , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
throttle_start_after_migration_s        , Time from migration start to the first observed positive CPU throttle sample.                                      ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
throttle_active_observed_span_s         , Time between the first and last observed positive CPU throttle samples.                                            ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
throttle_active_until_migration_end_s   , Time from the first observed positive throttle sample until migration completion.                                  ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
max_throttle_first_after_migration_s    , Time from migration start until the maximum throttle value was first observed.                                     ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
max_throttle_observed_span_s            , Time between the first and last samples at the maximum observed throttle value.                                    ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
pre_buffer_hit_pct                      , Pooled PostgreSQL buffer hit ratio in the pre-event window.                                                        , PostgreSQL hit/read deltas are pooled within each run before scenario aggregation.                                                                                                                                                                                                                                                 , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_buffer_hit_pct                     , Pooled PostgreSQL buffer hit ratio in the late post-event window.                                                  , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end. The nominal 60-second window is retained even when the workload ends early; available reports are used and coverage is reported separately. PostgreSQL hit/read deltas are pooled within each run before scenario aggregation., %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
observed_service_gap_s                  , Guest-wall-clock gap between the last source and first destination YCSB reports.                                   , Calculated from timestamps emitted inside different guests and therefore assumes sufficiently synchronized guest wall clocks.                                                                                                                                                                                                      , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
destination_ready_to_benchmark_s        , Interval from destination PostgreSQL readiness to destination workload start.                                      ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_boot_throughput_ops_s          , Prepared scenario source throughput from destination boot until standby PostgreSQL readiness.                      , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_catchup_throughput_ops_s       , Prepared scenario source throughput from standby PostgreSQL readiness until lag threshold.                         , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_boot_phase_duration_s          , Prepared scenario interval from destination boot to standby PostgreSQL readiness.                                  ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_catchup_duration_s             , Prepared scenario interval from standby PostgreSQL readiness to lag threshold.                                     ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_lag_at_shutdown_mib            , Replication lag reported when standby_ready was emitted.                                                           ,                                                                                                                                                                                                                                                                                                                                    , MiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_shutdown_duration_s            , Source shutdown request to source powered off.                                                                     ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_replay_drain_s                 , Standby replay-drain start to replay drained.                                                                      ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_promotion_duration_s           , Promotion start to promotion completion.                                                                           ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_handover_duration_s            , Source shutdown request to destination benchmark start.                                                            ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_source_alone_disk_write_mib_s  , Physical host disk writes during the final 20 s before destination boot.                                           ,                                                                                                                                                                                                                                                                                                                                    , MiB/s       , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_boot_disk_write_mib_s          , Physical host disk writes during destination boot.                                                                 ,                                                                                                                                                                                                                                                                                                                                    , MiB/s       , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_catchup_disk_write_mib_s       , Physical host disk writes during standby catch-up.                                                                 ,                                                                                                                                                                                                                                                                                                                                    , MiB/s       , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_source_alone_io_full_avg10_pct , Host full I/O pressure avg10 during the final 20 s before destination boot.                                        ,                                                                                                                                                                                                                                                                                                                                    , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_boot_io_full_avg10_pct         , Host full I/O pressure avg10 during destination boot.                                                              ,                                                                                                                                                                                                                                                                                                                                    , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_catchup_io_full_avg10_pct      , Host full I/O pressure avg10 during standby catch-up.                                                              ,                                                                                                                                                                                                                                                                                                                                    , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t0_pct_rss               , AnonHugePages divided by RSS at migration completion.                                                              , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
anon_hugepages_t10_pct_rss              , AnonHugePages divided by RSS 10 s after migration completion.                                                      , Offsets are nominal cumulative times reconstructed from the archived logger's successive sleep labels.                                                                                                                                                                                                                             , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
threads                                 , Configured YCSB worker-thread count.                                                                               ,                                                                                                                                                                                                                                                                                                                                    , threads     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
operation_count_configured              , Configured YCSB operation count.                                                                                   ,                                                                                                                                                                                                                                                                                                                                    , operations  , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
read_proportion                         , Configured YCSB read-operation proportion.                                                                         ,                                                                                                                                                                                                                                                                                                                                    , proportion  , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
update_proportion                       , Configured YCSB update-operation proportion.                                                                       ,                                                                                                                                                                                                                                                                                                                                    , proportion  , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
postcopy_delay_s                        , Configured delay before requesting post-copy.                                                                      ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
guest_memory_gib                        , Configured guest memory.                                                                                           ,                                                                                                                                                                                                                                                                                                                                    , GiB         , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
ycsb_total_operations                   , Maximum cumulative YCSB operation count.                                                                           ,                                                                                                                                                                                                                                                                                                                                    , operations  , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
timed_workload                          , Whether the scenario uses a time limit instead of a fixed operation count.                                         ,                                                                                                                                                                                                                                                                                                                                    , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
ycsb_operation_count_ok                 , True when a fixed operation count matched; timed workloads are exempt and recorded as true.                        ,                                                                                                                                                                                                                                                                                                                                    , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
source_ycsb_total_operations            , Maximum cumulative source YCSB operation count.                                                                    ,                                                                                                                                                                                                                                                                                                                                    , operations  , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
destination_ycsb_total_operations       , Maximum cumulative destination YCSB operation count.                                                               ,                                                                                                                                                                                                                                                                                                                                    , operations  , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
steady_avg_latency_ms                   , Mean reported average latency in the fixed baseline steady-state window.                                           , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
steady_p99_latency_ms                   , Mean reported p99 latency in the fixed baseline steady-state window.                                               , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
steady_buffer_hit_pct                   , Pooled PostgreSQL buffer-hit ratio in the fixed baseline steady-state window.                                      , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end. PostgreSQL hit/read deltas are pooled within each run before scenario aggregation.                                                                                                                                            , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
pre_avg_latency_ms                      , Mean reported average latency in the pre-event window.                                                             , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
pre_p99_latency_ms                      , Mean reported p99 latency in the pre-event window.                                                                 , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
during_avg_latency_ms                   , Mean reported average latency while live migration is active.                                                      , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
during_p99_latency_ms                   , Mean reported p99 latency while live migration is active.                                                          , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_0_10_avg_latency_ms                , Mean reported average latency during the first 10 execution seconds after the event.                               , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_0_10_p99_latency_ms                , Mean reported p99 latency during the first 10 execution seconds after the event.                                   , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_30_90_avg_latency_ms               , Mean reported average latency from 30 to 90 execution seconds after the event.                                     , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end. The nominal 60-second window is retained even when the workload ends early; available reports are used and coverage is reported separately.                                                                                   , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_30_90_p99_latency_ms               , Mean reported p99 latency from 30 to 90 execution seconds after the event.                                         , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end. The nominal 60-second window is retained even when the workload ends early; available reports are used and coverage is reported separately.                                                                                   , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_0_10_buffer_hit_pct                , Pooled PostgreSQL buffer-hit ratio during the first 10 execution seconds after the event.                          , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end. PostgreSQL hit/read deltas are pooled within each run before scenario aggregation.                                                                                                                                            , %           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_start_run_s                   , Migration-start event time relative to run start.                                                                  ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_end_run_s                     , Migration-end event time relative to run start.                                                                    ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_start_ycsb_s                  , Migration-start event time relative to benchmark start.                                                            ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_end_ycsb_s                    , Migration-end event time relative to benchmark start.                                                              ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_completed_before_benchmark_end, Whether migration completed no later than benchmark end.                                                           ,                                                                                                                                                                                                                                                                                                                                    , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_end_minus_benchmark_end_s     , Migration end minus benchmark end; positive values mean migration outlasted the workload.                          ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
dirty_sync_count                        , Final QEMU dirty-sync-count.                                                                                       ,                                                                                                                                                                                                                                                                                                                                    , count       , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
median_active_dirty_pages_s             , Median positive QEMU dirty-pages-rate across active and postcopy-active samples.                                   , Only positive samples whose QMP migration status is active or postcopy-active are included; completed and device states are excluded.                                                                                                                                                                                              , pages/s     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
median_active_dirty_mib_s               , Median active dirty-pages-rate converted using the reported page size.                                             , Only positive samples whose QMP migration status is active or postcopy-active are included; completed and device states are excluded.                                                                                                                                                                                              , MiB/s       , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
active_dirty_sample_count               , Number of positive dirty-pages-rate samples in active or postcopy-active QMP states.                               , Only positive samples whose QMP migration status is active or postcopy-active are included; completed and device states are excluded.                                                                                                                                                                                              , samples     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
median_active_transfer_mib_s            , "Median positive QEMU RAM transfer rate across active and postcopy-active samples, converted from Mbit/s to MiB/s.", Only positive samples whose QMP migration status is active or postcopy-active are included; completed and device states are excluded.                                                                                                                                                                                              , MiB/s       , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
active_transfer_sample_count            , Number of positive RAM-transfer-rate samples in active or postcopy-active QMP states.                              , Only positive samples whose QMP migration status is active or postcopy-active are included; completed and device states are excluded.                                                                                                                                                                                              , samples     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
qemu_completed_transfer_rate_mib_s      , QEMU completed-state whole-migration RAM transfer rate converted from Mbit/s to MiB/s.                             , Taken only from the completed QMP state carrying RAM counters; this whole-migration average is not mixed with active interval samples.                                                                                                                                                                                             , MiB/s       , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
stopcopy_operations_before_pause        , Maximum cumulative YCSB operations before the stop-copy pause.                                                     ,                                                                                                                                                                                                                                                                                                                                    , operations  , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_resume_host_throughput_ops_s       , Host-time average throughput after stop-copy destination resumption.                                               ,                                                                                                                                                                                                                                                                                                                                    , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
destination_boot_to_postgres_s          , Destination boot start to PostgreSQL readiness.                                                                    ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
destination_boot_to_ssh_s               , Destination boot start to SSH readiness in the prepared scenario.                                                  ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
source_shutdown_duration_s              , Source shutdown request to source powered off.                                                                     ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
control_plane_service_gap_s             , Source powerdown request to destination benchmark start.                                                           ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
source_active_at_shutdown               , Whether a source YCSB report occurred within 2.5 s before prepared shutdown.                                       ,                                                                                                                                                                                                                                                                                                                                    , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_preparation_duration_s         , Destination boot to prepared standby lag threshold.                                                                ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
prepared_promotion_to_benchmark_s       , Prepared promotion completion to destination benchmark start.                                                      ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
